Slide	X	Y	Area	Perimeter	Eccentricity	Circularity	MajorAxisLength	MinorAxisLength	Extent	Solidity	FSD1	FSD2	FSD3	FSD4	FSD5	FSD6	HematoxlyinMeanIntensity	HematoxlyinMeanMedianDifferenceIntensity	HematoxlyinMaxIntensity	HematoxlyinMinIntensity	HematoxlyinStdIntensity	HematoxlyinEntropy	HematoxlyinEnergy	HematoxlyinSkewness	HematoxlyinKurtosis	HematoxlyinMeanGradMag	HematoxlyinStdGradMag	HematoxlyinEntropyGradMag	HematoxlyinEnergyGradMag	HematoxlyinSkewnessGradMag	HematoxlyinKurtosisGradMag	HematoxlyinSumCanny	HematoxlyinMeanCanny	CytoplasmMeanIntensity	CytoplasmMeanMedianDifferenceIntensity	CytoplasmMaxIntensity	CytoplasmMinIntensity	CytoplasmStdIntensity	CytoplasmEntropy	CytoplasmEnergy	CytoplasmSkewness	CytoplasmKurtosis	CytoplasmMeanGradMag	CytoplasmStdGradMag	CytoplasmEntropyGradMag	CytoplasmEnergyGradMag	CytoplasmSkewnessGradMag	CytoplasmKurtosisGradMag	CytoplasmSumCanny	CytoplasmMeanCanny	Boundaries: x1,y1;x2,y2;...
path-image-113	9.2	23.3	120.000000	43.849000	0.821433	0.784281	16.753242	9.554463	0.542986	0.902256	0.546768	0.300886	0.056029	0.017186	0.005539	0.003251	176.942417	8.574741	255.000000	75.901596	52.229583	6.039450	0.021250	-0.009100	1.832934	45.984413	23.824905	5.999442	0.017639	0.396013	2.629775	34.000000	0.283333	90.068968	20.488684	237.323853	15.333911	53.662934	6.634557	0.012957	1.472597	4.027139	20.237213	16.657465	5.530627	0.027952	1.543753	5.161566	97.000000	0.220957	1.0,27.0;3.0,27.0;3.0,24.0;4.0,24.0;4.0,23.0;5.0,23.0;5.0,21.0;6.0,21.0;6.0,20.0;7.0,20.0;7.0,19.0;8.0,19.0;8.0,18.0;10.0,18.0;10.0,19.0;14.0,19.0;14.0,18.0;16.0,18.0;16.0,20.0;16.0,20.0;16.0,21.0;15.0,21.0;15.0,23.0;14.0,23.0;14.0,24.0;13.0,24.0;13.0,26.0;12.0,26.0;12.0,27.0;9.0,27.0;9.0,28.0;8.0,28.0;8.0,29.0;7.0,29.0;7.0,30.0;7.0,29.0;6.0,29.0;6.0,28.0;3.0,28.0;3.0,27.0;1.0,27.0;
path-image-113	10.2	46.9	154.000000	52.615000	0.933212	0.699055	23.864013	8.574987	0.513333	0.900585	0.497535	0.339734	0.062638	0.017067	0.007591	0.004767	196.764665	-1.512175	255.000000	65.228722	44.060176	6.012679	0.029347	-0.485695	2.730371	38.176911	22.674859	5.941123	0.018469	0.534090	2.781314	48.000000	0.311688	87.296590	13.471044	252.004288	11.709887	43.195269	6.738347	0.011717	1.654557	5.786532	21.525193	16.673134	5.557841	0.026597	1.674741	6.396888	125.000000	0.252525	1.0,47.0;4.0,47.0;4.0,46.0;5.0,46.0;5.0,45.0;8.0,45.0;8.0,44.0;10.0,44.0;10.0,43.0;14.0,43.0;14.0,42.0;15.0,42.0;15.0,41.0;17.0,41.0;17.0,40.0;19.0,40.0;19.0,41.0;20.0,41.0;20.0,43.0;19.0,43.0;19.0,45.0;18.0,45.0;18.0,46.0;17.0,46.0;17.0,47.0;16.0,47.0;16.0,48.0;15.0,48.0;15.0,49.0;14.0,49.0;14.0,50.0;10.0,50.0;10.0,51.0;9.0,51.0;9.0,52.0;3.0,52.0;3.0,53.0;1.0,53.0;1.0,54.0;1.0,47.0;
path-image-113	6.0	105.0	79.000000	33.957000	0.857520	0.860951	14.451311	7.434484	0.658333	0.908046	0.466244	0.339699	0.064310	0.019827	0.013507	0.012186	199.067278	-1.534453	255.000000	127.535576	32.822552	5.635997	0.026438	0.084822	2.293079	31.096934	15.143996	5.202267	0.031245	0.049435	2.163279	22.000000	0.278481	82.423402	6.539903	199.133102	10.705517	32.184265	6.491899	0.013563	0.934704	3.918808	19.230440	12.612017	5.250362	0.033022	1.032616	3.695327	75.000000	0.242718	1.0,103.0;4.0,103.0;4.0,102.0;10.0,102.0;10.0,101.0;12.0,101.0;12.0,105.0;10.0,105.0;10.0,106.0;8.0,106.0;8.0,107.0;7.0,107.0;7.0,108.0;5.0,108.0;5.0,109.0;1.0,109.0;1.0,110.0;1.0,103.0;
path-image-113	3.1	165.7	49.000000	25.257000	0.754514	0.965256	10.248567	6.725973	0.742424	0.924528	0.409247	0.421783	0.040868	0.019853	0.008603	0.005569	202.967754	-11.406422	255.000000	96.715302	45.755126	4.812991	0.055394	-0.659390	2.472584	41.960866	31.250745	5.150324	0.030404	1.028606	4.423948	10.000000	0.204082	76.972072	2.577327	159.540161	26.558228	21.749060	5.976755	0.018422	0.812043	3.980430	17.052925	9.922345	5.071238	0.034838	0.807603	3.377167	66.000000	0.285714	1.0,161.0;2.0,161.0;2.0,162.0;4.0,162.0;4.0,163.0;5.0,163.0;5.0,164.0;6.0,164.0;6.0,168.0;5.0,168.0;5.0,169.0;2.0,169.0;2.0,170.0;1.0,170.0;1.0,171.0;1.0,161.0;
path-image-113	5.3	189.9	90.000000	34.454000	0.712409	0.952737	13.217704	9.275719	0.625000	0.957447	0.437317	0.343043	0.071140	0.027567	0.010679	0.008547	181.091538	-7.058959	255.000000	26.337566	56.950392	5.922029	0.022963	-0.617189	2.720860	56.638365	28.882657	5.735863	0.020741	0.298993	2.379170	27.000000	0.300000	82.216526	5.367520	205.353485	38.596607	24.487647	6.198788	0.016087	1.156261	5.221403	17.879499	12.262685	5.204259	0.032627	1.878971	8.685394	88.000000	0.282051	1.0,187.0;3.0,187.0;3.0,186.0;4.0,186.0;4.0,185.0;5.0,185.0;5.0,186.0;10.0,186.0;10.0,187.0;11.0,187.0;11.0,188.0;11.0,188.0;11.0,189.0;10.0,189.0;10.0,190.0;9.0,190.0;9.0,191.0;8.0,191.0;8.0,192.0;7.0,192.0;7.0,193.0;6.0,193.0;6.0,194.0;5.0,194.0;5.0,195.0;3.0,195.0;3.0,196.0;3.0,195.0;1.0,195.0;1.0,187.0;
path-image-113	5.0	247.5	41.000000	21.916000	0.586214	1.072682	8.279164	6.707417	0.640625	0.911111	0.551691	0.338438	0.020041	0.005544	0.003915	0.002084	219.670592	-21.081102	255.000000	85.127930	46.464704	3.747796	0.168352	-1.385534	4.031729	33.157919	27.293358	4.716950	0.049375	0.760073	2.805428	10.000000	0.243902	66.754184	4.786153	150.072479	31.495085	20.975230	5.921714	0.019696	1.201169	4.683185	14.572624	12.484171	4.941784	0.039363	3.297551	20.489201	66.000000	0.251908	1.0,249.0;3.0,249.0;3.0,245.0;4.0,245.0;4.0,244.0;6.0,244.0;6.0,245.0;7.0,245.0;7.0,246.0;8.0,246.0;8.0,248.0;7.0,248.0;7.0,250.0;6.0,250.0;6.0,251.0;4.0,251.0;4.0,250.0;3.0,250.0;3.0,249.0;1.0,249.0;
path-image-113	12.0	335.6	318.000000	75.217000	0.861130	0.706326	29.891727	15.196486	0.611538	0.873626	0.430988	0.261971	0.073861	0.046518	0.042151	0.013677	184.967022	-0.201359	255.000000	57.264198	47.802424	6.544202	0.025335	-0.195164	2.231747	38.950352	19.912679	6.118756	0.016633	0.343059	2.618468	80.000000	0.251572	98.593148	9.628442	255.000000	26.066231	43.326275	6.999093	0.009524	1.193128	4.356953	27.905880	20.959063	5.948540	0.020332	1.379249	4.683302	158.000000	0.254428	1.0,342.0;3.0,342.0;3.0,340.0;4.0,340.0;4.0,337.0;5.0,337.0;5.0,335.0;6.0,335.0;6.0,334.0;7.0,334.0;7.0,333.0;8.0,333.0;8.0,332.0;11.0,332.0;11.0,328.0;10.0,328.0;10.0,325.0;11.0,325.0;11.0,324.0;12.0,324.0;12.0,323.0;13.0,323.0;13.0,322.0;19.0,322.0;19.0,323.0;20.0,323.0;20.0,328.0;18.0,328.0;18.0,344.0;17.0,344.0;17.0,345.0;16.0,345.0;16.0,346.0;11.0,346.0;11.0,347.0;11.0,346.0;4.0,346.0;4.0,345.0;3.0,345.0;3.0,344.0;1.0,344.0;1.0,342.0;
path-image-113	5.7	386.9	97.000000	41.558000	0.336166	0.705785	12.487243	11.760522	0.497436	0.801653	0.400304	0.275865	0.088178	0.019515	0.012143	0.009341	195.135731	-4.634868	255.000000	58.260494	50.443244	5.261271	0.059836	-0.642960	2.851138	44.835022	32.954043	5.696318	0.022000	1.463433	5.773155	21.000000	0.216495	83.447892	9.119790	230.053436	26.426609	32.477581	6.533979	0.012978	1.244030	4.699854	19.940624	12.288296	5.361934	0.028410	0.890995	3.406621	85.000000	0.236111	1.0,384.0;3.0,384.0;3.0,383.0;4.0,383.0;4.0,382.0;5.0,382.0;5.0,380.0;6.0,380.0;6.0,379.0;6.0,385.0;11.0,385.0;11.0,386.0;12.0,386.0;12.0,387.0;12.0,387.0;12.0,388.0;11.0,388.0;11.0,389.0;10.0,389.0;10.0,390.0;6.0,390.0;6.0,391.0;5.0,391.0;5.0,392.0;4.0,392.0;4.0,393.0;4.0,392.0;3.0,392.0;3.0,391.0;1.0,391.0;1.0,384.0;
path-image-113	4.7	420.6	89.000000	35.082000	0.765663	0.908722	13.692489	8.807583	0.706349	0.927083	0.381807	0.366604	0.092550	0.020726	0.012911	0.011134	193.078314	-11.094904	255.000000	20.525215	53.267740	5.326692	0.046838	-0.912875	3.678770	48.544644	27.872007	5.728213	0.021083	0.554470	2.947109	24.000000	0.269663	88.897593	14.986117	252.131943	26.370203	44.871671	6.345308	0.015630	1.932925	6.295306	20.465989	17.612015	5.368657	0.030742	2.110438	7.962738	72.000000	0.241611	1.0,418.0;4.0,418.0;4.0,414.0;5.0,414.0;5.0,413.0;5.0,414.0;6.0,414.0;6.0,415.0;7.0,415.0;7.0,417.0;8.0,417.0;8.0,421.0;9.0,421.0;9.0,423.0;8.0,423.0;8.0,424.0;7.0,424.0;7.0,425.0;6.0,425.0;6.0,426.0;1.0,426.0;1.0,418.0;
path-image-113	2.5	438.3	27.000000	19.840000	0.894502	0.861966	9.543833	4.266695	0.600000	0.900000	0.417171	0.401647	0.057374	0.027020	0.010209	0.009936	196.663120	7.827274	255.000000	121.120544	39.705884	4.384517	0.050754	0.042339	1.926631	51.526420	24.290430	4.430632	0.050754	0.611376	3.252351	10.000000	0.370370	81.056961	6.914433	201.875473	25.148174	28.910017	6.201984	0.016771	1.322128	5.186793	21.365949	15.164865	5.515300	0.025387	0.997241	3.608570	65.000000	0.273109	1.0,436.0;4.0,436.0;4.0,435.0;5.0,435.0;5.0,437.0;4.0,437.0;4.0,438.0;3.0,438.0;3.0,440.0;2.0,440.0;2.0,442.0;1.0,442.0;1.0,443.0;1.0,436.0;
